Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.twoside	Blood	7030	21	0.997131071277457	1	ENSG00000134222:ENSG00000134243:ENSG00000162650:ENSG00000160712:ENSG00000170006:ENSG00000175003:ENSG00000026652:ENSG00000099810:ENSG00000122861:ENSG00000108239:ENSG00000166147:ENSG00000255302:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000137764:ENSG00000041357:ENSG00000130164:ENSG00000100979:ENSG00000100985
DEG.twoside	Blood_Vessel	3624	14	0.809422864438308	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000146477:ENSG00000175600:ENSG00000122641:ENSG00000196968:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000134917:ENSG00000166147:ENSG00000136378:ENSG00000141448
DEG.twoside	Brain	7298	30	0.82395689222247	1	ENSG00000143126:ENSG00000134222:ENSG00000160712:ENSG00000145242:ENSG00000146477:ENSG00000026652:ENSG00000112530:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000109917:ENSG00000134917:ENSG00000102678:ENSG00000166147:ENSG00000166949:ENSG00000188779:ENSG00000136381:ENSG00000041357:ENSG00000159579:ENSG00000130164:ENSG00000100982
DEG.twoside	Breast	2340	12	0.393809180321548	1	ENSG00000134222:ENSG00000143028:ENSG00000174151:ENSG00000170006:ENSG00000175600:ENSG00000122641:ENSG00000147883:ENSG00000138193:ENSG00000149968:ENSG00000134917:ENSG00000087237:ENSG00000141448
DEG.twoside	Cervix_Uteri	2558	7	0.960602276102403	1	ENSG00000146477:ENSG00000099810:ENSG00000137656:ENSG00000166949:ENSG00000136381:ENSG00000188266:ENSG00000136378
DEG.twoside	Colon	2352	12	0.400887484221271	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000160712:ENSG00000122641:ENSG00000148660:ENSG00000176273:ENSG00000138193:ENSG00000134917:ENSG00000169684:ENSG00000080644:ENSG00000100985
DEG.twoside	Esophagus	2473	10	0.720291705277415	1	ENSG00000162650:ENSG00000170006:ENSG00000147883:ENSG00000149968:ENSG00000134917:ENSG00000102678:ENSG00000136378:ENSG00000141448:ENSG00000130164:ENSG00000100985
DEG.twoside	Fallopian_Tube	452	1	0.879496938942534	1	ENSG00000141448
DEG.twoside	Heart	8709	41	0.470156601102399	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000026652:ENSG00000185345:ENSG00000175600:ENSG00000122641:ENSG00000099810:ENSG00000176986:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000134917:ENSG00000103995:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000136378:ENSG00000172775:ENSG00000159579:ENSG00000141448:ENSG00000130164:ENSG00000132801:ENSG00000100982:ENSG00000198026:ENSG00000100985
DEG.twoside	Kidney	5895	31	0.217183072846002	1	ENSG00000134222:ENSG00000134243:ENSG00000146477:ENSG00000122194:ENSG00000026652:ENSG00000112530:ENSG00000175600:ENSG00000122641:ENSG00000099810:ENSG00000176986:ENSG00000166507:ENSG00000148660:ENSG00000185009:ENSG00000173145:ENSG00000108239:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000102678:ENSG00000166147:ENSG00000138593:ENSG00000189227:ENSG00000137764:ENSG00000136381:ENSG00000136378:ENSG00000070915:ENSG00000159579:ENSG00000141448:ENSG00000130164:ENSG00000100982:ENSG00000198026
DEG.twoside	Liver	8286	38	0.561440174041638	1	ENSG00000143126:ENSG00000134222:ENSG00000134243:ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000175003:ENSG00000146477:ENSG00000198670:ENSG00000122194:ENSG00000099810:ENSG00000176986:ENSG00000196968:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000173145:ENSG00000108239:ENSG00000149968:ENSG00000137656:ENSG00000110243:ENSG00000160584:ENSG00000166147:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000137764:ENSG00000136381:ENSG00000087237:ENSG00000172775:ENSG00000159579:ENSG00000100979:ENSG00000100982:ENSG00000198026:ENSG00000100985
DEG.twoside	Lung	3849	16	0.721473715179538	1	ENSG00000143126:ENSG00000143028:ENSG00000160712:ENSG00000170006:ENSG00000185345:ENSG00000122641:ENSG00000147883:ENSG00000196968:ENSG00000166507:ENSG00000122861:ENSG00000138193:ENSG00000134917:ENSG00000136378:ENSG00000141448:ENSG00000130164:ENSG00000100985
DEG.twoside	Muscle	6972	27	0.900308267941469	1	ENSG00000143126:ENSG00000143028:ENSG00000162650:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000185345:ENSG00000099810:ENSG00000196968:ENSG00000214655:ENSG00000166507:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000108239:ENSG00000149968:ENSG00000137656:ENSG00000166147:ENSG00000138593:ENSG00000189227:ENSG00000136378:ENSG00000172775:ENSG00000159579:ENSG00000130164:ENSG00000100979:ENSG00000198026
DEG.twoside	Nerve	4941	19	0.855377430593917	1	ENSG00000134222:ENSG00000145242:ENSG00000146477:ENSG00000026652:ENSG00000099810:ENSG00000166507:ENSG00000138193:ENSG00000173145:ENSG00000108239:ENSG00000149968:ENSG00000137656:ENSG00000166147:ENSG00000103995:ENSG00000138593:ENSG00000136381:ENSG00000188266:ENSG00000136378:ENSG00000141448:ENSG00000100985
DEG.twoside	Ovary	5103	23	0.593178440148281	1	ENSG00000143126:ENSG00000134243:ENSG00000162650:ENSG00000146477:ENSG00000026652:ENSG00000099810:ENSG00000147883:ENSG00000148660:ENSG00000122861:ENSG00000156110:ENSG00000176273:ENSG00000137656:ENSG00000134917:ENSG00000166147:ENSG00000166949:ENSG00000137764:ENSG00000136381:ENSG00000188266:ENSG00000136378:ENSG00000141448:ENSG00000130164:ENSG00000198026:ENSG00000100985
DEG.twoside	Pancreas	9220	38	0.865482290183871	1	ENSG00000143126:ENSG00000134243:ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000026652:ENSG00000099810:ENSG00000147883:ENSG00000176986:ENSG00000196968:ENSG00000172586:ENSG00000214655:ENSG00000166507:ENSG00000148660:ENSG00000122861:ENSG00000185009:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000108239:ENSG00000173124:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000166147:ENSG00000138593:ENSG00000166949:ENSG00000103591:ENSG00000189227:ENSG00000137764:ENSG00000136381:ENSG00000041357:ENSG00000172775:ENSG00000159579:ENSG00000130164:ENSG00000132801:ENSG00000100982:ENSG00000198026
DEG.twoside	Pituitary	5005	27	0.19919550431947	1	ENSG00000134243:ENSG00000143028:ENSG00000162650:ENSG00000174151:ENSG00000170006:ENSG00000146477:ENSG00000026652:ENSG00000112530:ENSG00000175600:ENSG00000147889:ENSG00000148660:ENSG00000122861:ENSG00000176273:ENSG00000149968:ENSG00000137745:ENSG00000134917:ENSG00000102678:ENSG00000166147:ENSG00000103995:ENSG00000103591:ENSG00000103599:ENSG00000189227:ENSG00000136378:ENSG00000087237:ENSG00000141448:ENSG00000130164:ENSG00000100985
DEG.twoside	Prostate	2717	6	0.99049251112445	1	ENSG00000170006:ENSG00000146477:ENSG00000175600:ENSG00000134917:ENSG00000166949:ENSG00000100985
DEG.twoside	Salivary_Gland	2951	13	0.617679626147812	1	ENSG00000134222:ENSG00000162650:ENSG00000160712:ENSG00000026652:ENSG00000185345:ENSG00000175600:ENSG00000148660:ENSG00000138193:ENSG00000149968:ENSG00000160584:ENSG00000134917:ENSG00000136378:ENSG00000141448
DEG.twoside	Skin	4343	19	0.645807636848165	1	ENSG00000143126:ENSG00000143028:ENSG00000174151:ENSG00000160712:ENSG00000170006:ENSG00000026652:ENSG00000122641:ENSG00000147883:ENSG00000148660:ENSG00000156110:ENSG00000138193:ENSG00000173145:ENSG00000119969:ENSG00000173124:ENSG00000149968:ENSG00000159579:ENSG00000141448:ENSG00000130164:ENSG00000124116
DEG.twoside	Small_Intestine	3112	12	0.79388672031625	1	ENSG00000143126:ENSG00000134222:ENSG00000143028:ENSG00000174151:ENSG00000026652:ENSG00000185345:ENSG00000147883:ENSG00000156110:ENSG00000176273:ENSG00000189227:ENSG00000080644:ENSG00000100985
DEG.twoside	Spleen	4596	19	0.748182409901608	1	ENSG00000134243:ENSG00000143028:ENSG00000174151:ENSG00000160712:ENSG00000146477:ENSG00000185345:ENSG00000166507:ENSG00000122861:ENSG00000173145:ENSG00000119969:ENSG00000134917:ENSG00000166147:ENSG00000138593:ENSG00000189227:ENSG00000087237:ENSG00000141448:ENSG00000132801:ENSG00000198026:ENSG00000100985
DEG.twoside	Stomach	3070	15	0.44769059427511	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000026652:ENSG00000122641:ENSG00000147883:ENSG00000196968:ENSG00000156110:ENSG00000173124:ENSG00000134917:ENSG00000189227:ENSG00000080644:ENSG00000136378:ENSG00000141448:ENSG00000100985
DEG.twoside	Testis	8546	40	0.491639080304143	1	ENSG00000143126:ENSG00000134222:ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000146477:ENSG00000185345:ENSG00000112530:ENSG00000122641:ENSG00000099810:ENSG00000224854:ENSG00000147889:ENSG00000196968:ENSG00000148660:ENSG00000122861:ENSG00000222047:ENSG00000176273:ENSG00000138193:ENSG00000108239:ENSG00000119969:ENSG00000137656:ENSG00000109917:ENSG00000110243:ENSG00000160584:ENSG00000103995:ENSG00000166949:ENSG00000103591:ENSG00000103599:ENSG00000189227:ENSG00000137764:ENSG00000188779:ENSG00000041357:ENSG00000169684:ENSG00000117971:ENSG00000159579:ENSG00000212710:ENSG00000130164:ENSG00000124116:ENSG00000132801:ENSG00000100985
DEG.twoside	Thyroid	4708	22	0.51331536829801	1	ENSG00000143126:ENSG00000134222:ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000146477:ENSG00000185345:ENSG00000175600:ENSG00000122641:ENSG00000147883:ENSG00000122861:ENSG00000138193:ENSG00000173145:ENSG00000149968:ENSG00000134917:ENSG00000166147:ENSG00000103995:ENSG00000166949:ENSG00000103591:ENSG00000103599:ENSG00000087237:ENSG00000198026
DEG.twoside	Uterus	4787	22	0.549542359217188	1	ENSG00000143126:ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000146477:ENSG00000026652:ENSG00000099810:ENSG00000166507:ENSG00000148660:ENSG00000185009:ENSG00000138193:ENSG00000173145:ENSG00000149968:ENSG00000137656:ENSG00000166949:ENSG00000136381:ENSG00000188266:ENSG00000136378:ENSG00000159579:ENSG00000141448:ENSG00000198026:ENSG00000100985
DEG.twoside	Vagina	2611	12	0.552828706927889	1	ENSG00000143126:ENSG00000170006:ENSG00000146477:ENSG00000185345:ENSG00000099810:ENSG00000147883:ENSG00000122861:ENSG00000156110:ENSG00000149968:ENSG00000166949:ENSG00000130164:ENSG00000100985
