Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.up	Thyroid	3732	13	0.903053997633911	1	ENSG00000143126:ENSG00000143028:ENSG00000162650:ENSG00000122861:ENSG00000138193:ENSG00000173145:ENSG00000166147:ENSG00000103995:ENSG00000166949:ENSG00000103591:ENSG00000103599:ENSG00000087237:ENSG00000198026
DEG.up	Uterus	3999	19	0.484225974278041	1	ENSG00000143028:ENSG00000162650:ENSG00000160712:ENSG00000146477:ENSG00000026652:ENSG00000099810:ENSG00000166507:ENSG00000148660:ENSG00000185009:ENSG00000138193:ENSG00000173145:ENSG00000137656:ENSG00000166949:ENSG00000136381:ENSG00000188266:ENSG00000136378:ENSG00000159579:ENSG00000141448:ENSG00000198026
DEG.up	Vagina	2013	9	0.591241962380398	1	ENSG00000143126:ENSG00000170006:ENSG00000146477:ENSG00000099810:ENSG00000147883:ENSG00000122861:ENSG00000156110:ENSG00000166949:ENSG00000130164
DEG.up	Whole_Blood	1299	4	0.858474580276564	1	ENSG00000160712:ENSG00000170006:ENSG00000175003:ENSG00000100985
DEG.down	Adipose_Subcutaneous	1307	9	0.147267531945615	1	ENSG00000143126:ENSG00000134222:ENSG00000143028:ENSG00000162650:ENSG00000174151:ENSG00000175600:ENSG00000122641:ENSG00000134917:ENSG00000141448
DEG.down	Adipose_Visceral_Omentum	1400	9	0.195317588462401	1	ENSG00000143126:ENSG00000134222:ENSG00000143028:ENSG00000174151:ENSG00000170006:ENSG00000175600:ENSG00000122641:ENSG00000148660:ENSG00000134917
DEG.down	Adrenal_Gland	2994	15	0.406890074149879	1	ENSG00000143126:ENSG00000134222:ENSG00000134243:ENSG00000160712:ENSG00000026652:ENSG00000147883:ENSG00000148660:ENSG00000122861:ENSG00000138193:ENSG00000137656:ENSG00000109917:ENSG00000160584:ENSG00000166147:ENSG00000103995:ENSG00000166949
DEG.down	Artery_Aorta	1323	3	0.949056578487732	1	ENSG00000143126:ENSG00000160712:ENSG00000147883
DEG.down	Artery_Coronary	863	1	0.983230564722133	1	ENSG00000143126
DEG.down	Artery_Tibial	1746	5	0.914966362899296	1	ENSG00000143126:ENSG00000134222:ENSG00000162650:ENSG00000132801:ENSG00000100985
DEG.down	Bladder	103	0	1	1	
